avg_reflectance(%),uniformity(%),max_high_angle_R(%),delta_R_temp(%),avg_stress(MPa),layer1_thickness(nm),layer2_thickness(nm),layer3_thickness(nm),layer4_thickness(nm),layer5_thickness(nm),layer6_thickness(nm),layer7_thickness(nm)
9.9923,0.4297,10.0088,0.0030,32.3309,37.4240,94.8263,46.6331,128.2774,36.4730,62.6194,44.8019
1.4966,43.7916,0.3132,0.0036,40.8835,60.7566,30.6998,93.0665,32.2111,60.0621,20.0782,106.3256
2.4510,24.4028,4.0729,0.0000,35.9911,51.9982,36.4685,21.7593,70.9867,27.1596,67.5742,112.6250
4.9540,13.5569,5.7179,0.0058,28.2001,20.0002,139.9802,20.0000,140.0000,20.0001,139.9977,20.0000
0.2777,95.2697,1.3466,0.0017,34.1468,57.6843,34.0378,26.2805,32.7162,47.4058,121.4747,27.2641
0.3731,155.7989,2.7020,0.0021,33.0774,54.9824,39.9215,20.0371,38.3816,42.3917,125.0116,20.3321
2.5777,89.8571,0.2048,0.0092,34.7634,60.4225,33.9457,26.1269,50.5368,27.9787,136.8876,96.6088
22.0374,4.2711,24.5888,0.0013,32.0198,28.5317,35.2195,30.0882,101.6529,30.3780,134.1192,57.5567
22.6098,1.6225,23.4279,0.0030,31.9641,28.5317,35.2195,30.0882,101.6529,30.3780,137.4575,57.5567
6.5267,49.8157,1.9137,0.0184,28.7324,22.5495,139.9738,27.1166,139.5934,20.0008,111.8777,20.1441
0.7044,145.8490,4.8576,0.0031,30.7378,55.5095,33.6032,22.4456,125.5930,20.0037,135.8635,20.7460
0.3899,142.4532,2.5747,0.0018,33.2387,54.6913,39.9215,20.0371,38.3816,43.4310,124.2313,23.7136
7.4217,43.7586,2.0976,0.0176,28.6651,28.7989,139.9158,20.0456,139.7734,20.0109,116.4218,20.0209
10.1025,38.5847,0.9639,0.0163,29.1033,37.0978,139.9868,21.8825,124.9854,20.0508,119.0873,20.1034
19.6768,7.5219,22.6603,0.0011,32.4597,20.6900,41.3023,24.0606,42.4649,21.9350,64.1747,21.3183
13.6523,3.5744,14.9598,0.0011,37.7432,28.3535,20.6428,51.8133,20.0067,46.6143,62.7595,54.8078
3.9234,33.0254,6.0581,0.0087,28.8687,20.4793,138.3602,27.4262,126.1061,23.8299,136.4351,24.4107
1.5678,99.5336,7.4723,0.0054,29.6678,20.1930,75.6015,26.8946,102.4267,25.6323,138.1548,23.5389
4.3446,16.7996,6.3161,0.0001,36.2219,50.3592,31.3314,21.8129,71.2155,31.5675,66.5756,112.4684
17.8596,1.0531,18.3926,0.0020,37.2022,36.7573,20.3613,42.1575,20.4119,40.6869,66.1622,47.7352
21.8990,1.7460,22.9339,0.0025,31.5430,24.7232,41.4957,26.6249,101.8466,28.9384,135.8386,55.4564
0.8714,22.1126,0.5674,0.0019,40.5185,60.5918,29.2868,91.9999,33.7144,58.6001,28.6717,106.2506
0.3666,147.2906,2.5184,0.0019,33.1343,55.1571,39.5029,20.2094,38.2378,43.1611,124.8196,20.3330
0.5917,131.4763,3.7953,0.0033,30.9286,56.8436,34.2133,20.6080,125.6194,20.0517,135.7991,27.0522
18.1868,3.1851,18.6900,0.0066,29.4763,20.3300,43.8816,20.6516,104.5031,20.4065,136.9051,20.8768
16.6868,2.9318,18.2908,0.0010,37.4197,36.8740,20.3613,42.1575,20.5076,43.1410,62.8324,47.7352
20.0975,2.1334,20.5269,0.0050,31.0471,20.6848,41.1276,27.2334,103.0596,20.6465,135.8386,52.7977
18.0332,4.3193,17.7108,0.0077,29.5365,22.2143,39.7753,20.1557,105.4262,20.4173,137.1604,20.0479
16.1210,2.0372,16.6849,0.0015,38.9119,38.5647,20.3015,40.2139,20.4520,48.7376,63.6959,111.1599
