r_mm,theta_deg,reflectance(%),thickness_bias,temperature(°C)
0.0,0.0,1.057557532197531,1.0,20.0
5.25,2.0057619349098257,1.1343382618557127,1.0212626340307824,20.0
10.5,4.013987218056314,1.2012552062516093,1.0447874549231126,20.0
15.75,6.027166560131101,1.2622664817435152,1.0708352786960176,20.0
21.0,8.047846247311517,1.565961132215482,1.099719887642531,20.0
26.250000000000004,10.078658107787666,1.5194182378231398,1.1,20.0
31.5,12.122352244789113,1.4643374497032413,1.1,20.0
36.75000000000001,14.181833728563449,1.411209615744443,1.1,20.0
42.0,16.26020470831196,1.3649015894404344,1.1,20.0
47.25,18.36081379392586,1.329901655891781,1.1,20.0
52.50000000000001,20.487315114722666,1.3096716365813599,1.1,20.0
57.75,22.643740262885103,1.3059375330362297,1.1,20.0
63.0,24.834587489701583,1.3180489280682108,1.1,20.0
68.25,27.064934228833383,1.3426104789754465,1.1,20.0
73.50000000000001,29.34058157502374,1.373655648206137,1.1,20.0
78.75,31.668243253541647,1.4036741146558964,1.1,20.0
84.0,34.055797742567904,1.4258042995152835,1.1,20.0
91.0,37.348869556781324,1.4398327536202942,1.1,20.0
98.0,40.79339494820318,1.4600883051780538,1.1,20.0
105.0,44.4270040008057,1.574892783912743,1.1,20.0
